User_id,Username,Gender,Repo_id,commit_date,Project_size,Project_Tenure
7876037,ddemoray,male,11478727,11/7/2016,Small,One Year
8066534,AndyWu2015,male,11498117,10/28/2015,Small,One Year
8826899,RainierBarrett,male,11571072,7/27/2015,Small,One Year
6748120,jsaporta,male,11597792,1/21/2015,Small,One Year
10619762,jboz62,male,11608690,11/24/2015,Small,One Year
7481218,FrissAnalytics,male,11609501,1/31/2016,Small,One Year
9288758,jperezlatimes,male,11641672,8/22/2016,Small,One Year
6969391,Lleios,male,11650014,2/25/2015,Small,One Year
7781901,thewassermann,male,11662689,10/1/2016,Small,One Year
7155552,thomaszbz,male,11711849,7/22/2015,Small,One Year
7876037,ddemoray,male,11719408,11/7/2016,Small,One Year
640469,ekulos,male,11756101,12/3/2016,Small,One Year
11164701,ac-esousa,male,11846187,5/12/2016,Small,One Year
30454972,joel-eche,male,11988828,12/23/2016,Small,One Year
7876037,ddemoray,male,11991886,11/7/2016,Small,One Year
7925946,leoncarey,male,12014376,5/3/2016,Small,One Year
6962320,seanhamlin,male,12121192,3/30/2015,Small,One Year
7378839,micheljunio,male,12143448,3/14/2015,Small,One Year
6761342,chilbert,male,12184833,5/16/2016,Small,One Year
7856182,NumminorihSF,male,12201050,9/28/2016,Small,One Year
6740504,anandmudgerikar,male,12237931,1/20/2015,Small,One Year
7109162,srinirajaraman,male,12291546,2/22/2015,Small,One Year
8268186,fluffyemily,female,12305915,1/7/2016,Small,One Year
7876037,ddemoray,male,12309090,11/7/2016,Small,One Year
7616844,jasonlukeball,male,12323786,5/12/2016,Small,One Year
640469,ekulos,male,12324992,12/3/2016,Small,One Year
7781901,thewassermann,male,12342976,10/1/2016,Small,One Year
6761342,chilbert,male,12344777,5/16/2016,Small,One Year
7170117,andys2p,male,12352524,2/26/2015,Small,One Year
640469,ekulos,male,12370887,12/3/2016,Small,One Year
30539492,bdbfox,male,12384226,9/30/2016,Small,One Year
11498399,barnhill,male,12388592,2/7/2016,Small,One Year
6740504,anandmudgerikar,male,12420477,1/20/2015,Small,One Year
1025081,mlippautz,male,12433129,2/3/2016,Small,One Year
640469,ekulos,male,12433429,12/3/2016,Small,One Year
640469,ekulos,male,12433641,12/3/2016,Small,One Year
6655605,kaiekubjas,female,12447265,1/15/2015,Small,One Year
1025081,mlippautz,male,12451310,2/3/2016,Small,One Year
640469,ekulos,male,12451444,12/3/2016,Small,One Year
7319912,jondewitt,male,12454140,3/10/2015,Small,One Year
6803998,sayabe,female,12484807,11/30/2015,Small,One Year
7925946,leoncarey,male,12486487,5/3/2016,Small,One Year
11488876,ajaiii,male,12519993,2/6/2016,Small,One Year
6655341,blowfishpro,male,12539798,5/9/2015,Small,One Year
11995370,DominikWitczakAMD,male,12576836,3/28/2016,Small,One Year
11393344,mmucci,male,12629136,2/1/2016,Small,One Year
7198413,meganbit,female,12635773,2/27/2015,Small,One Year
11894714,manicombinostics,male,12641133,3/3/2016,Small,One Year
11998019,Spell28,male,12669472,3/10/2016,Small,One Year
7524771,victorg1991,male,12672743,11/10/2016,Small,One Year
7284739,YuryBaranikhin,male,12674355,3/8/2015,Small,One Year
640469,ekulos,male,12675125,12/3/2016,Small,One Year
7925946,leoncarey,male,12677661,5/3/2016,Small,One Year
7047975,chbonnin,male,12678290,2/18/2015,Small,One Year
11393344,mmucci,male,12689617,2/1/2016,Small,One Year
11393344,mmucci,male,12733858,2/1/2016,Small,One Year
30539492,bdbfox,male,12778779,9/30/2016,Small,One Year
11393344,mmucci,male,12780192,2/1/2016,Small,One Year
8826899,RainierBarrett,male,12786879,7/19/2016,Small,One Year
